"rk","player","pos","age","tm","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","x","o_rtg","d_rtg"
"389","Kevin Porter Jr.","SG","20","HOU","15","12","455","9.2","21.3",".431","2.3","8.7",".265","6.9","12.6",".545","3.4","5.0",".688","0.9","5.0","6.0","9.9","1.3","0.7","5.4","3.4","24.1",NA,"98","115"
"390","Michael Porter Jr.","SF","22","DEN","42","35","1271","10.7","19.8",".540","4.0","8.9",".447","6.7","10.9",".616","2.6","3.4",".761","3.0","9.6","12.5","1.6","1.1","1.5","1.8","3.5","28.0",NA,"126","112"
"391","Otto Porter","SF-PF","27","TOT","28","6","606","7.8","18.0",".432","3.1","8.2",".375","4.7","9.7",".480","2.9","3.3",".857","2.2","9.8","12.0","4.4","1.3","0.3","2.0","3.2","21.5",NA,"113","112"
"391","Otto Porter","SF","27","CHI","25","6","540","7.9","17.9",".441","3.4","8.4",".400","4.5","9.5",".477","2.8","3.3",".838","2.5","9.8","12.2","4.4","1.1","0.4","2.2","3.3","21.9",NA,"114","113"
"391","Otto Porter","PF","27","ORL","3","0","66","6.6","18.5",".360","0.7","6.6",".111","5.9","11.8",".500","3.7","3.7","1.000","0.0","10.3","10.3","3.7","3.0","0.0","0.0","3.0","17.7",NA,"101","109"
"392","Bobby Portis","C","25","MIL","48","5","1028","10.4","19.8",".528","2.4","5.2",".460","8.1","14.6",".552","1.6","2.1",".739","4.0","11.9","15.9","2.3","1.6","0.9","1.9","3.8","24.8",NA,"120","109"
"393","Kristaps Porziņģis","C","25","DAL","33","33","1018","12.4","26.0",".477","3.7","10.0",".369","8.7","16.0",".544","4.2","5.0",".827","3.1","11.6","14.7","2.5","0.7","2.6","2.1","4.1","32.6",NA,"115","109"
"394","Dwight Powell","C","29","DAL","37","8","541","4.9","9.9",".495","0.5","1.7",".263","4.5","8.2",".544","5.3","6.7",".784","4.0","7.3","11.3","2.7","1.7","1.2","1.6","7.7","15.6",NA,"128","111"
"395","Norman Powell","SG-SF","27","TOT","49","38","1501","10.3","21.0",".492","4.3","9.8",".435","6.0","11.1",".542","5.5","6.5",".851","0.9","3.9","4.8","2.7","1.9","0.4","2.8","3.7","30.4",NA,"117","115"
"395","Norman Powell","SG","27","TOR","42","31","1277","10.6","21.4",".498","4.5","10.2",".439","6.2","11.2",".552","5.3","6.2",".865","0.7","4.0","4.8","2.9","1.8","0.3","2.9","3.7","31.1",NA,"117","115"
"395","Norman Powell","SF","27","POR","7","7","224","8.3","18.5",".447","3.3","8.1",".405","5.0","10.5",".479","6.5","8.3",".789","2.0","3.3","5.2","1.7","2.8","0.7","2.2","3.7","26.4",NA,"118","116"
"396","Taurean Prince","PF","26","TOT","34","10","745","6.7","17.3",".388","3.2","8.2",".387","3.6","9.1",".388","3.7","4.3",".848","1.1","7.0","8.1","4.2","1.4","1.4","2.2","4.1","20.2",NA,"106","113"
"396","Taurean Prince","PF","26","BRK","12","4","218","6.6","16.4",".405","2.9","8.2",".351","3.8","8.2",".459","5.3","6.0",".889","0.4","7.1","7.5","1.5","1.8","1.8","2.4","4.6","21.5",NA,"106","112"
"396","Taurean Prince","PF","26","CLE","22","6","527","6.7","17.7",".381","3.3","8.1",".402","3.5","9.5",".363","3.0","3.6",".821","1.4","6.9","8.3","5.3","1.2","1.2","2.2","3.9","19.7",NA,"107","113"
"397","Payton Pritchard","SG","23","BOS","47","1","894","6.7","14.8",".452","3.4","8.3",".408","3.3","6.5",".508","1.2","1.3",".875","1.3","4.2","5.5","4.9","1.5","0.4","2.2","4.6","17.9",NA,"116","115"
"398","Immanuel Quickley","PG","21","NYK","48","3","952","9.6","24.6",".390","4.7","12.5",".378","4.9","12.1",".403","6.7","7.5",".895","1.2","4.7","5.9","5.6","1.3","0.6","2.3","4.8","30.6",NA,"114","111"
"399","Jahmi'us Ramsey","SG","19","SAC","5","0","17","8.5","14.1",".600","2.8","8.5",".333","5.6","5.6","1.000","0.0","0.0","","0.0","11.3","11.3","2.8","0.0","2.8","2.8","0.0","19.8",NA,"114","117"
"400","Chasson Randle","PG","27","ORL","22","5","466","4.4","11.4",".385","2.5","6.7",".375","1.9","4.7",".400","1.6","1.9",".833","0.3","4.2","4.5","4.9","1.0","0.2","2.6","4.1","12.9",NA,"100","116"
"401","Julius Randle","PF","26","NYK","52","52","1924","11.0","23.8",".461","2.7","6.6",".408","8.3","17.2",".481","6.1","7.7",".791","1.8","12.7","14.5","8.2","1.2","0.3","4.5","4.3","30.7",NA,"111","107"
"402","Cam Reddish","SF","21","ATL","26","21","750","6.3","17.3",".365","2.2","8.3",".262","4.1","9.0",".460","4.4","5.4",".817","1.4","5.4","6.8","2.3","2.2","0.6","2.2","4.5","19.2",NA,"100","113"
"403","J.J. Redick","SG","36","NOP","31","0","576","7.3","18.0",".407","4.3","11.8",".364","3.0","6.2",".486","3.8","4.0",".957","0.3","4.1","4.4","3.4","0.8","0.2","2.1","3.1","22.7",NA,"114","120"
"404","Paul Reed","PF","21","PHI","14","0","102","9.4","19.7",".476","0.0","2.8",".000","9.4","16.9",".556","0.0","0.9",".000","5.6","7.0","12.7","2.3","2.3","3.3","3.3","7.0","18.8",NA,"96","103"
"405","Naz Reid","C","21","MIN","51","13","965","10.4","20.0",".522","2.1","5.9",".358","8.3","14.1",".590","4.4","6.1",".720","2.7","8.3","11.0","2.6","1.4","2.6","2.5","6.4","27.4",NA,"115","113"
"406","Cameron Reynolds","SF","25","SAS","3","0","6","8.1","16.2",".500","0.0","0.0","","8.1","16.2",".500","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.2",NA,"98","121"
"407","Nick Richards","PF","23","CHO","14","0","53","3.6","6.4",".571","0.0","0.0","","3.6","6.4",".571","6.4","10.0",".636","1.8","6.4","8.2","0.9","0.0","0.0","2.7","5.5","13.7",NA,"109","117"
"408","Josh Richardson","SG","27","DAL","41","41","1311","6.9","16.2",".428","2.4","7.6",".318","4.5","8.6",".524","2.9","3.2",".918","1.3","4.3","5.6","4.4","1.4","0.6","2.3","3.9","19.2",NA,"109","114"
"409","Grant Riller","PG","23","CHO","2","0","8","0.0","12.1",".000","0.0","6.0",".000","0.0","6.0",".000","0.0","0.0","","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0",NA,"34","122"
"410","Austin Rivers","SG","28","NYK","21","2","442","6.6","15.2",".430","3.2","8.7",".364","3.4","6.6",".517","1.1","1.6",".714","0.6","4.7","5.3","4.7","1.4","0.0","2.5","3.6","17.4",NA,"105","112"
"411","Andre Roberson","SG","29","BRK","5","0","63","1.5","10.7",".143","0.8","6.1",".125","0.8","4.6",".167","0.8","1.5",".500","5.4","6.1","11.5","3.1","2.3","0.8","1.5","3.1","4.6",NA,"79","112"
"412","Duncan Robinson","SF","26","MIA","52","52","1689","6.6","15.0",".441","5.3","12.9",".408","1.3","2.1",".639","1.4","1.7",".845","0.1","5.6","5.7","2.7","0.8","0.4","1.8","3.9","19.9",NA,"112","113"
"413","Glenn Robinson III","SF","27","SAC","23","2","369","5.5","12.9",".424","2.1","5.7",".364","3.4","7.2",".473","2.7","3.0",".913","1.4","4.4","5.9","2.6","0.5","0.4","1.4","3.0","15.7",NA,"113","122"
"414","Jerome Robinson","SG","23","WAS","17","6","305","4.2","14.4",".295","1.7","6.4",".262","2.6","8.0",".321","2.4","3.0",".800","0.6","5.2","5.8","3.8","1.8","0.9","2.9","4.7","12.6",NA,"80","114"
"415","Justin Robinson","G","23","OKC","3","0","54","4.4","13.3",".333","2.7","9.8",".273","1.8","3.5",".500","1.8","2.7",".667","0.0","3.5","3.5","5.3","0.9","0.0","0.9","5.3","13.3",NA,"103","117"
"416","Mitchell Robinson","C","22","NYK","31","29","853","6.7","10.3",".653","0.0","0.0","","6.7","10.3",".653","1.5","3.1",".491","6.6","8.1","14.8","1.0","2.0","2.6","1.5","5.0","15.0",NA,"131","105"
"417","Isaiah Roby","PF","22","OKC","43","23","1008","7.0","13.9",".502","1.0","3.3",".314","5.9","10.6",".561","3.1","4.4",".710","3.2","8.4","11.6","3.6","1.7","1.4","3.7","5.4","18.1",NA,"105","111"
"418","Rajon Rondo","PG","34","TOT","30","2","449","5.6","13.7",".408","2.2","5.6",".392","3.4","8.1",".419","0.3","0.4",".750","0.9","5.8","6.7","11.8","2.4","0.3","4.9","3.6","13.7",NA,"100","113"
"418","Rajon Rondo","PG","34","ATL","27","2","402","5.4","13.5",".400","2.1","5.5",".378","3.3","8.0",".415","0.1","0.2",".500","0.5","6.2","6.7","11.6","2.3","0.2","4.8","3.1","13.0",NA,"98","113"
"418","Rajon Rondo","G","34","LAC","3","0","47","7.4","15.8",".467","3.2","6.3",".500","4.2","9.5",".444","2.1","2.1","1.000","4.2","2.1","6.3","13.7","3.2","1.1","6.3","8.4","20.0",NA,"117","110"
"419","Derrick Rose","PG","32","TOT","32","3","768","10.3","24.4",".423","1.9","5.5",".353","8.4","18.9",".444","4.6","5.6",".837","0.8","3.7","4.5","8.4","2.3","0.9","3.4","2.1","27.2",NA,"105","111"
